id,region,cadena_productiva,tipo_empresa,tendencia
77,O'Higgins,Servicios creativos,Profesional independiente,Robótica
43,Maule,Contenidos creativos,Empresa,Computación o programación creativa
70,Maule,Experiencias creativas,Empresa,Cultura y entretenimiento
70,Maule,Experiencias creativas,Empresa,Servicios creativos
1,Biobío,Bienes creativos,Empresa,Cultura y entretenimiento
1,Biobío,Bienes creativos,Empresa,Juegos interactivos
1,Biobío,Bienes creativos,Empresa,Servicios creativos
6,Biobío,Contenidos creativos,Empresa,Juegos interactivos
6,Biobío,Contenidos creativos,Empresa,Música
6,Biobío,Contenidos creativos,Empresa,Servicios creativos
41,Biobío,Experiencias creativas,Profesional independiente,Servicios creativos
61,Biobío,Servicios creativos,Empresa,Computación o programación creativa
61,Biobío,Servicios creativos,Empresa,Juegos interactivos
61,Biobío,Servicios creativos,Empresa,Nuevos medios
108,Biobío,Contenidos creativos,Profesional independiente,Cultura y entretenimiento
108,Biobío,Contenidos creativos,Profesional independiente,Editorial
108,Biobío,Contenidos creativos,Profesional independiente,Servicios creativos
111,Biobío,Bienes creativos,Empresa,Computación o programación creativa
111,Biobío,Bienes creativos,Empresa,Servicios creativos
115,Biobío,Servicios creativos,Empresa,Computación o programación creativa
115,Biobío,Servicios creativos,Empresa,Contenido para redes sociales
115,Biobío,Servicios creativos,Empresa,Servicios creativos
118,Biobío,Bienes creativos,Empresa,Contenido para redes sociales
118,Biobío,Bienes creativos,Empresa,Música
137,Biobío,Bienes creativos,Empresa,Contenido para redes sociales
137,Biobío,Bienes creativos,Empresa,Data science
137,Biobío,Bienes creativos,Empresa,Editorial
137,Biobío,Bienes creativos,Empresa,Nuevos medios
27,Araucanía,Contenidos creativos,Profesional independiente,Servicios creativos
37,Araucanía,Experiencias creativas,Empresa,Nuevos medios
37,Araucanía,Experiencias creativas,Empresa,Servicios creativos
40,Araucanía,Contenidos creativos,Profesional independiente,Cultura y entretenimiento
40,Araucanía,Contenidos creativos,Profesional independiente,Música
40,Araucanía,Contenidos creativos,Profesional independiente,Servicios creativos
44,Araucanía,Contenidos creativos,Profesional independiente,Computación o programación creativa
44,Araucanía,Contenidos creativos,Profesional independiente,Contenido para redes sociales
44,Araucanía,Contenidos creativos,Profesional independiente,Cultura y entretenimiento
44,Araucanía,Contenidos creativos,Profesional independiente,Servicios creativos
66,Araucanía,Bienes creativos,Empresa,Servicios creativos
81,Araucanía,Bienes creativos,Profesional independiente,Servicios creativos
116,Araucanía,Servicios creativos,Profesional independiente,Contenido para redes sociales
116,Araucanía,Servicios creativos,Profesional independiente,Editorial
116,Araucanía,Servicios creativos,Profesional independiente,Juegos interactivos
116,Araucanía,Servicios creativos,Profesional independiente,Servicios creativos
121,Araucanía,Experiencias creativas,Profesional independiente,Nuevos medios
39,Los Ríos,Experiencias creativas,Empresa,Computación o programación creativa
39,Los Ríos,Experiencias creativas,Empresa,Cultura y entretenimiento
39,Los Ríos,Experiencias creativas,Empresa,Juegos interactivos
39,Los Ríos,Experiencias creativas,Empresa,Nuevos medios
39,Los Ríos,Experiencias creativas,Empresa,Servicios creativos
75,Los Ríos,Bienes creativos,Empresa,Servicios creativos
134,Los Lagos,Experiencias creativas,Empresa,Cultura y entretenimiento
134,Los Lagos,Experiencias creativas,Empresa,Nuevos medios
134,Los Lagos,Experiencias creativas,Empresa,Servicios creativos
4,Aysén,Bienes creativos,Empresa,Computación o programación creativa
4,Aysén,Bienes creativos,Empresa,Servicios creativos
51,Aysén,Bienes creativos,Empresa,Computación o programación creativa
51,Aysén,Bienes creativos,Empresa,Contenido para redes sociales
51,Aysén,Bienes creativos,Empresa,Cultura y entretenimiento
51,Aysén,Bienes creativos,Empresa,Fintech
51,Aysén,Bienes creativos,Empresa,Servicios creativos
95,Aysén,Servicios creativos,Empresa,Cultura y entretenimiento
95,Aysén,Servicios creativos,Empresa,Nuevos medios
95,Aysén,Servicios creativos,Empresa,Servicios creativos
123,Aysén,Bienes creativos,Empresa,Servicios creativos
10,Magallanes,Contenidos creativos,Empresa,Computación o programación creativa
59,Magallanes,Servicios creativos,Empresa,Computación o programación creativa
59,Magallanes,Servicios creativos,Empresa,Cultura y entretenimiento
59,Magallanes,Servicios creativos,Empresa,Fintech
79,Magallanes,Bienes creativos,Empresa,Contenido para redes sociales
91,Magallanes,Bienes creativos,Empresa,Juegos interactivos
91,Magallanes,Bienes creativos,Empresa,Nuevos medios
91,Magallanes,Bienes creativos,Empresa,Servicios creativos
9,Extranjero,Servicios creativos,Profesional independiente,Computación o programación creativa
9,Extranjero,Servicios creativos,Profesional independiente,Data science
9,Extranjero,Servicios creativos,Profesional independiente,Juegos interactivos
9,Extranjero,Servicios creativos,Profesional independiente,Nuevos medios
31,Extranjero,Experiencias creativas,Profesional independiente,Contenido para redes sociales
31,Extranjero,Experiencias creativas,Profesional independiente,Cultura y entretenimiento
31,Extranjero,Experiencias creativas,Profesional independiente,Música
31,Extranjero,Experiencias creativas,Profesional independiente,Nuevos medios
31,Extranjero,Experiencias creativas,Profesional independiente,Servicios creativos
57,Extranjero,Contenidos creativos,Profesional independiente,Cultura y entretenimiento
