region,tipo_empresa,cadena_productiva,agrupacion_tecnocreativa,genero,asociatividad,vinculos_educativos,tamano_empresa_num_trab,rango_ventas,exportaciones,exportaciones_porc_ingreso,internacionalizacion,mercados_intern
Araucanía,Profesional independiente,Contenidos creativos,Cultura y entretenimiento,Mujer,No,No,0,Menos de 10.000 USD,No,0,"No, pero está en las prioridades actuales",
Araucanía,Empresa,Bienes creativos,Juegos interactivos,Mujer,No,Sí,6-10,Menos de 10.000 USD,No,2,No y no está en los planes actuales,
Araucanía,Profesional independiente,Bienes creativos,Ninguna de las anteriores,Hombre,No,No,1-5,Menos de 10.000 USD,Sí,10,"No, pero está en las prioridades actuales",
Araucanía,Profesional independiente,Servicios creativos,Servicios creativos,Mujer,Sí (especificar cuál),Sí,0,Menos de 10.000 USD,No,0,"Sí, pero aún no se han concretado operaciones internacionales",
Araucanía,Profesional independiente,Experiencias creativas,Servicios creativos,Mujer,Sí (especificar cuál),Sí,1-5,Menos de 10.000 USD,No,0,No y no está en los planes actuales,
Araucanía,Empresa,,,Hombre,,,,,,,,
Los Ríos,Empresa,Experiencias creativas,Cultura y entretenimiento,Hombre,Sí (especificar cuál),No,1-5,Entre 50.000 y 100.000 USD,No,0,"No, pero está en las prioridades actuales",
Los Ríos,Empresa,Bienes creativos,Ninguna de las anteriores,Mujer,No,No,1-5,Menos de 10.000 USD,No,0,No y no está en los planes actuales,
Los Ríos,Empresa,Bienes creativos,Ninguna de las anteriores,Mujer,Sí (especificar cuál),No,1-5,Menos de 10.000 USD,No,0,No y no está en los planes actuales,
Los Ríos,Empresa,,,Hombre,,,,,,,,
Los Lagos,Empresa,Experiencias creativas,Servicios creativos,Hombre,Sí (especificar cuál),No,1-5,Entre 10.000 y 50.000 USD,No,0,"No, pero está en las prioridades actuales",
Aysén,Empresa,Bienes creativos,Computación o programación creativa,Hombre,No,No,1-5,Menos de 10.000 USD,No,0,No y no está en los planes actuales,
Aysén,Empresa,Bienes creativos,Cultura y entretenimiento,Hombre,Sí (especificar cuál),No,1-5,Entre 10.000 y 50.000 USD,Sí,0,"No, pero está en las prioridades actuales",
Aysén,Empresa,Servicios creativos,Nuevos medios,Hombre,Sí (especificar cuál),Sí,1-5,Menos de 10.000 USD,No,0,"No, pero está en las prioridades actuales","En ninguno, aún."
Aysén,Empresa,Bienes creativos,Servicios creativos,Mujer,No,No,1-5,Menos de 10.000 USD,No,0,"No, pero está en las prioridades actuales",
Magallanes,Empresa,Contenidos creativos,Computación o programación creativa,Hombre,Sí (especificar cuál),No,1-5,Menos de 10.000 USD,No,0,No y no está en los planes actuales,
Magallanes,Empresa,Servicios creativos,Fintech,Hombre,No,No,1-5,Entre 10.000 y 50.000 USD,No,0,"Sí, pero aún no se han concretado operaciones internacionales",
Magallanes,Empresa,Bienes creativos,Ninguna de las anteriores,Mujer,No,Sí,1-5,Menos de 10.000 USD,No,0,"No, pero está en las prioridades actuales",
Magallanes,Empresa,Bienes creativos,Nuevos medios,Hombre,Sí (especificar cuál),Sí,1-5,Entre 10.000 y 50.000 USD,Sí,15,"Sí, en uno",Alemania
Extranjero,Profesional independiente,Servicios creativos,Computación o programación creativa,Hombre,No,No,1-5,Menos de 10.000 USD,No,0,"No, pero está en las prioridades actuales",
Extranjero,Profesional independiente,Experiencias creativas,Cultura y entretenimiento,Hombre,No,No,1-5,Entre 50.000 y 100.000 USD,Sí,36,"Sí, pero aún no se han concretado operaciones internacionales",Europa del Este
Extranjero,Profesional independiente,Contenidos creativos,Editorial (medios digitales),Hombre,Sí (especificar cuál),Sí,1-5,Entre 10.000 y 50.000 USD,Sí,50,"Sí, en más de uno",10+ en 2024
Extranjero,Empresa,,,Hombre,,,,,,,,
Extranjero,Empresa,,,Mujer,,,,,,,,
