v362_id,region,cadena_productiva,tipo_empresa,interaccion
9,Extranjero,Servicios creativos,Profesional independiente,Ciencia y tecnología
9,Extranjero,Servicios creativos,Profesional independiente,Comunicaciones
9,Extranjero,Servicios creativos,Profesional independiente,Educación
31,Extranjero,Experiencias creativas,Profesional independiente,Ciencia y tecnología
31,Extranjero,Experiencias creativas,Profesional independiente,Comunicaciones
31,Extranjero,Experiencias creativas,Profesional independiente,Construcción y desarrollo urbano
31,Extranjero,Experiencias creativas,Profesional independiente,Innovación
31,Extranjero,Experiencias creativas,Profesional independiente,Salud
57,Extranjero,Contenidos creativos,Profesional independiente,Ciencia y tecnología
57,Extranjero,Contenidos creativos,Profesional independiente,Comunicaciones
57,Extranjero,Contenidos creativos,Profesional independiente,Educación
57,Extranjero,Contenidos creativos,Profesional independiente,Innovación
57,Extranjero,Contenidos creativos,Profesional independiente,Medioambiente y desastres naturales
